Classification-verified Result,,,,,,,,
"Tool in InterPVD (for source code, no compilation)",TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy
cppcheck,7/1.41%,493,4/0.80%,490,63.64%,1.41%,2.76%,50.30%
flawfinder,196/39.44%,316,181/36.42%,301,51.99%,39.44%,44.85%,51.51%
semgrep,38/7.65%,467,30/6.04%,459,55.88%,7.65%,13.45%,50.80%
checkmarx,215/43.26%,310,187/37.63,282,53.48%,43.26%,47.83%,52.82%
AdvTaint,354/71.23%,244,253/50.91%,143,58.32%,71.23%,64.31%,60.16%
,,,,,,,,
,,,,,,,,
Line Position (RCA)-verified Result,,,,,,,,
Tool in InterPVD,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy
cppcheck,4/0.80%,486,11/2.21%,493,26.67%,0.80%,1.56%,49.30%
flawfinder,43/8.65,486,11/2.21%,454,79.63%,8.65%,15.61%,53.22%
semgrep,11/2.21%,496,1/0.20%,486,91.67%,2.21%,4.32%,51.01%
checkmarx,59/11.87%,483,14/2.82%,438,80.82%,11.87%,20.70%,54.53%
AdvTaint,226/45.47%,443,54/10.87%,271,80.81%,45.74%,58.17%,67.30%
,,,,,,,,
,,,,,,,,
Line Position (RCA)-verified Result,,,,,,,,
Tool in InterPVD,P-C,P-V,P-B,P-R,,,,
cppcheck,0.80%,0%,96.98%,2.21%,,,,
flawfinder,8.05%,0.60%,89.74%,1.61%,,,,
semgrep,2.21%,0%,97.59%,0.20%,,,,
checkmarx,10.66%,1.01%,86.52%,1.81%,,,,
AdvTaint,36.20%,9.20%,52.90%,1.61%,,,,
