5.1: Classification-verified Result,,,,,,,,,,5.1: RCA-verified Result,,,,,,,,,,,,
Model,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,Model,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,P-C,P-V,P-B,P-R
qwen3:30b,366/73.64%,254,243/48.89%,131,59.36%,73.05%,65.50%,61.95%,,qwen3:30b,158/31.79,458,39/7.85%,339,80.20%,31.79%,45.53%,61.97%,26.80%,5.00%,65.40%,2.80%
deepseek-r1:32b,306/61.57%,250,247/49.70%,191,55.33%,61.57%,58.29%,55.93%,,deepseek-r1:32b,147/29.58%,436,61/12.27%,350,70.67%,29.58%,41.70%,58.65%,20.70%,8.90%,67.00%,3.40%
Gpt-oss:20b 「o3-mini,354/71.23%,244,253/50.91%,143,58.32%,71.23%,64.31%,60.16%,,Gpt-oss:20b 「o3-mini,226/45.47%,443,54/10.87%,271,80.81%,45.74%,58.17%,67.30%,36.20%,9.20%,52.90%,1.60%
Gpt-oss:120b 「o4-mini,368/74.04%,233,264/53.12%,129,58.22%,74.04%,65.19%,60.46%,,Gpt-oss:120b 「o4-mini,244/49.90%,445,52/10.46%,253,82.43%,49.09%,61.54%,69.32%,39.40%,9.70%,50.10%,0.80%
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5.2:  Classification-verified Result,,,,,,,,,,5.2: RCA-verified Result,,,,,,,,,,,,
Method,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,Method,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,,,
LLMxCPG(Adapted),144/28.97%,359,138/27.77%,353,51.06%,28.97%,36.97%,50.60%,,LLMxCPG(Adapted),84/16.90%,401,96/19.32%,413,46.67%,16.90%,24.81%,48.79%,,,,
GPTLens ,130/26.16%,407,90/18.11%,367,59.09%,26.16%,36.26%,54.02%,,GPTLens ,137/27.57%,438,59/11.87%,360,69.90%,27.57%,39.54%,57.85%,,,,
VulTrial,117/23.54%,421,76/15.29%,380,60.60%,23.54%,33.91%,54.12%,,VulTrial,129/25.96%,407,90/18.11%,368,58.90%,25.96%,36.03%,53.92%,,,,
MaVUL,114/22.94%,409,88/17.71%,383,56.40%,22.94%,32.62%,52.62%,,MaVUL,71/14.29%,473,24/4.83,426,74.73%,14.29%,23.99%,54.73%,,,,
AdvTaint,354/71.23%,244,253/50.91%,143,58.32%,71.23%,64.31%,60.16%,,AdvTaint,226/49.90%,443,54/10.46%,271,80.81%,45.74%,58.17%,67.30%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5.3:  Classification-verified Result,,,,,,,,,,5.3:  RCA-verified Result,,,,,,,,,,,,
ID,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,ID,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,,,
1,126/25.35%,399,98/19.72%,371,56.25%,25.35%,34.95%,52.82%,,1,84/16.90%,461,36/7.24%,413,70.00%,16.90%,27.23%,54.83%,,,,
2 FCG Part.,143/28.77%,411,86/17.30%,354,62.44%,28.77%,39.39%,55.73%,,2 FCG Part.,113/22.74%,468,29/5.84%,384,79.58%,22.74%,35.37%,58.45%,,,,
3 FCG Part.+ Adv. Verif.,161/32.39%,382,115/23.14%,336,58.33%,32.39%,41.66%,54.63%,,3 FCG Part.+ Adv. Verif.,157/31.59%,441,56/11.27%,340,73.71%,31.59%,44.23%,60.16%,,,,
4 FCG Part.+ Stack Anal.,326/65.59%,219,278/55.94%,171,53.97%,65.59%,59.22%,54.83%,,4 FCG Part.+ Stack Anal.,181/36.42%,352,145/29.18%,316,55.52%,36.42%,43.99%,53.62%,,,,
AdvTaint,354/71.23%,244,253/50.91%,143,58.32%,71.23%,64.31%,60.16%,,AdvTaint,226/49.90%,443,54/10.46%,271,80.81%,45.74%,58.17%,67.30%,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5.4:  Classification-verified Result,,,,,,,,,,5.4:  RCA-verified Result,,,,,,,,,,,,
Dataset,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,Dataset,TP/TPR,TN,FP/FPR,FN,Precision,Recall,F1,Accuracy,,,,
InterPVD,354/71.23%,244,253/50.91%,143,58.32%,71.23%,64.31%,60.16%,,InterPVD,226/49.90%,443,54/10.46%,271,80.81%,45.74%,58.17%,67.30%,,,,
ReposVul,536/53.82%,483,513/51.51%,460,51.10%,53.82%,52.42%,51.15%,,ReposVul,386/38.76%,891,105/10.54%,610,78.62%,38.76%,51.92%,64.11%,,,,
PKCO-25,85/80.96%,39,66/13.28%,20,56.29%,80.95%,66.41%,59.05%,,PKCO-25,42/40.00%,93,12/11.43%,63,77.78%,40.00%,52.83%,64.29%,,,,
